2025-04-08T16:45:12.863Z | block 28670680 | Opp #1 | UNI=1495.9263 | SUSHI=1495.9699 | AAVE=1494.9675 | BA=0.0641% | DS=0.0029% | TOTALbps=6.70 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:16.828Z | block 28670681 | Opp #2 | UNI=1495.9263 | SUSHI=1496.0031 | AAVE=1494.9675 | BA=0.0641% | DS=0.0051% | TOTALbps=6.92 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:21.046Z | block 28670684 | Opp #3 | UNI=1495.8984 | SUSHI=1496.0031 | AAVE=1494.9675 | BA=0.0622% | DS=0.0070% | TOTALbps=6.92 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:25.246Z | block 28670686 | Opp #4 | UNI=1496.6940 | SUSHI=1496.8422 | AAVE=1494.9675 | BA=0.1154% | DS=0.0099% | TOTALbps=12.53 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:29.112Z | block 28670688 | Opp #5 | UNI=1497.1163 | SUSHI=1497.2514 | AAVE=1494.9675 | BA=0.1435% | DS=0.0090% | TOTALbps=15.26 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:33.165Z | block 28670689 | Opp #6 | UNI=1497.5380 | SUSHI=1497.5306 | AAVE=1494.9675 | BA=0.1712% | DS=0.0005% | TOTALbps=17.17 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:37.234Z | block 28670692 | Opp #7 | UNI=1497.6446 | SUSHI=1497.6915 | AAVE=1494.9675 | BA=0.1788% | DS=0.0031% | TOTALbps=18.19 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:41.306Z | block 28670694 | Opp #8 | UNI=1497.5332 | SUSHI=1497.5274 | AAVE=1494.9675 | BA=0.1709% | DS=0.0004% | TOTALbps=17.13 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:45.389Z | block 28670696 | Opp #9 | UNI=1497.5332 | SUSHI=1497.5274 | AAVE=1497.7069 | BA=-0.0120% | DS=0.0004% | TOTALbps=-1.16 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:49.447Z | block 28670697 | Opp #10 | UNI=1497.4601 | SUSHI=1497.4445 | AAVE=1497.7069 | BA=-0.0175% | DS=0.0010% | TOTALbps=-1.65 | ROUTE=Buy Sushi / Sell Uni | ACTION=NO_FLASHLOAN | FLASHLOANS=0
2025-04-08T16:45:53.578Z | block 28670700 | Opp #11 | UNI=1496.9233 | SUSHI=1497.0268 | AAVE=1497.7069 | BA=-0.0524% | DS=0.0069% | TOTALbps=-4.54 | ROUTE=Buy Uni / Sell Sushi | ACTION=NO_FLASHLOAN | FLASHLOANS=0
